,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
511,511,The right ventricle pumps what type of blood toward the lungs?,oxygen-rich,plasma,oxygenated,oxygen-poor,"The right ventricle pumps oxygen-poor blood toward the lungs, where it receives oxygen.",D,D,A,A,A,A
526,526,What are proteins encoded by?,codons,DNA,RNA,genes,,D,D,C,C,C,C
540,540,Plant cells have structures that animal cells?,eat,have,drink,lack,Plant cells have structures that animal cells lack. What important process takes place in plant cells but not in animal cells that might explain their differences?.,C,D,A,A,A,D
543,543,"When the number of active receptors falls below that threshold, what happens to the cellular response?",it stabilizes,it responds,it increases,it ceases,,B,A,B,D,D,D
546,546,What is the energy of motion called?,mixed energy,binary energy,potential energy,kinetic energy,,D,D,C,A,A,A
558,558,What results when the water vapor from a hot shower contacts the cooler surface of a mirror?,cleaner mirror,the mirror breaks,mirror brightens,foggy mirror,"If you take a hot shower in a closed bathroom, the mirror is likely to ""fog"" up. The ""fog"" consists of tiny droplets of water that form on the cool surface of the mirror. Why does this happen? Some of the hot water from the shower evaporates, so the air in the bathroom contains a lot of water vapor. When the water vapor contacts cooler surfaces, such as the mirror, it cools and loses energy. The cooler water particles no longer have enough energy to overcome the forces of attraction between them. They come together and form droplets of liquid water.",D,D,A,D,A,A
569,569,The total number of protons and neutorns in an atom is called what?,formation number,atom number,volume number,mass number,The mass number is defined as the total number of protons and neutrons in an atom.,C,D,C,C,C,D
593,593,Displacement divided by time is equal to the average what?,acceleration,force,speed,velocity,Average velocity is displacement divided by time.,D,D,A,A,A,D
624,624,The amount of kinetic energy in a moving object depends directly on what two factors?,gravity and weight,revolution and velocity,inertia and momentum,mass and velocity,The amount of kinetic energy in a moving object depends directly on its mass and velocity. It can be calculated with the equation: .,C,D,C,D,D,A
627,627,There is a predictable amount of solute that can be dissolved at what?,room temperature,flat rate,light speed,specific temperature,There is a predictable amount of solute that can be dissolved at a specific temperature.,D,A,D,A,A,D
645,645,Approximately how many weeks does the fetal period last?,27 weeks,10 weeks,25 weeks,30 weeks,"From the eighth week following fertilization until birth, the developing human being is called a fetus. Birth typically occurs at about 38 weeks after fertilization, so the fetal period generally lasts about 30 weeks. During this time, the organs complete their development. The fetus also grows rapidly in length and weight. Some of the specific changes that occur during the fetal stage are listed in Figure below .",A,D,C,A,D,D
646,646,"Because dizygotic twins develop from two eggs fertilized by two sperm, they are no more identical than siblings born at what?",other eras,other times of day,different places,different times,"birth of dizygotic (or fraternal) twins. Because dizygotic twins develop from two eggs fertilized by two sperm, they are no more identical than siblings born at different times. Much less commonly, a zygote can divide into two separate offspring during early development. This results in the birth of monozygotic (or identical) twins. Although the zygote can split as early as the two-cell stage, splitting occurs most commonly during the early blastocyst stage, with roughly 70–100 cells present. These two scenarios are distinct from each other, in that the twin embryos that separated at the two-cell stage will have individual placentas, whereas twin embryos that form from separation at the blastocyst stage will share a placenta and a chorionic cavity.",D,D,B,B,C,B
649,649,"When someone falls, the kinetic energy the person has upon reaching the floor is the amount of what energy lost by falling through height?",nuclear energy,gravitational energy,thermal energy,potential energy,"with a minus sign because the displacement while stopping and the force from floor are in opposite directions (cos θ = cos 180º = − 1) . The floor removes energy from the system, so it does negative work. The kinetic energy the person has upon reaching the floor is the amount of potential energy lost by falling through height.",C,D,C,C,C,C
651,651,"The sun, stars, moon, planets and comets are all type of what objects?",spacial,extraterrestrial,universal,celestrial,,C,D,C,D,D,D
653,653,"Solution nodes and antinodes are both areas of wave interference, but they differ in the presence of what condition?",speed,radiation,gravity,motion,Check Your Understanding Define nodes and antinodes. Solution Nodes are areas of wave interference where there is no motion. Antinodes are areas of wave interference where the motion is at its maximum point.,D,D,A,A,C,A
