,question,distractor3,distractor1,distractor2,correct_answer,support,small
4309,What term is used to describe modern seed plants that produce seeds in cones?,perennials,angiosperms,deciduous,gymnosperms,Some modern seed plants are gymnosperms that produce seeds in cones.,D
4319,Name the process of removing wastes from the body.,degradation,filtration,depletion,excretion,Excretion is the process of removing wastes from the body.,D
4325,Alkanes are nonpolar and therefore do not attract what?,atoms,molecules,eons,ions,Alkanes are nonpolar; they do not attract ions.,D
4337,Humans building communities to make survival easier is an example of humans as a species changing their what?,evolution,climate,instinctive behavior,environment,,A
4341,After the egg is fertilized the mrna is translated into what?,DNA,factor,mitochondria,protein,,D
4342,What is the process that ventilates lungs called?,perspiration,photosynthesis,reproduction,breathing,,D
4344,What are drilled to monitor groundwater pollution?,draining wells,sewers,aquifers,test wells,Test wells are drilled to monitor groundwater pollution.,D
4353,At equilibrium reactants and what are equally abundant?,minerals,results,proactives,products,Reactants and products are equally abundant at equilibrium.,D
4354,Mitochondria are thought to have evolved from what kind of cells?,ancient matrix,ancient  ribosome,ancient phosphorylation,ancient prokaryotic,Mitochondria are thought to have evolved from ancient prokaryotic cells.,D
4356,The average number of individuals per unit of area or volume is referred to as a population's what?,output,increase,diameter,density,Population density is the average number of individuals per unit of area or volume.,D
4362,What ensures that seeds germinate only when conditions for seedling survival are optimal?,survival dormancy,germination dormancy,seed forcing,seed dormancy,,C
4373,"In resting neurons, the plasma membrane has many open potassium channels but few open of which other channels?",sulfur,silicon,oxygen,sodium,,D
4376,What is the spread of cancer cells beyond their original site called?,apoptosis,scattering,mutations,metastasis,,D
4377,What is another name for flatworms such as tapeworms and flukes?,polychaetes,epiphytes,trematodes,platyhelminthes,Platyhelminthes are flatworms such as tapeworms and flukes.,D
4378,The lithosphere-asthensophere divisions are based on what?,constant properties,mechanical compounds,elemental properties,mechanical properties,The lithosphere-asthensophere divisions are based on mechanical properties.,D
4379,The second shell holds a maximum of how many electrons?,6,9,12,8,,D
4381,What devices convert mechanical energy to electric energy?,mechanical generators,kinetic generators,transformation generators,electric generators,Electric generators convert mechanical energy to electric energy.,D
4384,Restoring nitrogen to the soil is one reason for what agricultural practice?,sowing,irrigation,plowing,crop rotation,,D
4392,"Gases can undergo diffusion, or the opposite, which is what?",infusion,defusion,dissipation,effusion,Define diffusion and effusion and how they relate to other properties of gases.,D
4394,Amphibian larvae go through what process to change into the adult form?,merging,morphing,parthenogenesis,metamorphosis,Amphibian larvae go through metamorphosis to change into the adult form.,D
4399,"Cancer is caused by mutations, which can be caused by pathogens, chemicals, or what else?",diseases,evaporation,convection,radiation,"Cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.",D
4401,All new alleles are formed by what types of mutations?,ordinary,chaotic,systemic,random,,D
4410,The addition of starting materials and the removal of end products prevent metabolism from reaching what state?,imbalance,constant,inequality,equilibrium,,D
4412,The regulation of gene expression is extremely important during the development of what?,tissues,cells,protein,organism,3. Name and describe the division of gymnosperms.,C
4414,Mutations in regulatory genes that normally control the cell cycle cause what?,illness,tumors,anxiety,cancer,Mutations in regulatory genes that normally control the cell cycle cause cancer.,D
4418,What should you use to protect your eyes from chemicals?,your hands,contacts,certain goggles,eye goggles,,B
4419,"Because action potentials are so brief, a neuron can produce hundreds per what?",lifetime,day,minute,second,,D
4422,The number of possible isomers increases tremendously as carbon skeletons increase in what?,weight,variation,mass,size,,D
4430,Organic chemistry is the study of the chemistry of what?,oxidation,hydrogen,metals,carbon compounds,Organic chemistry is the study of the chemistry of carbon compounds.,D
4435,The pancreatic hormones insulin and glucagon maintain glucose homeostasis by tightly regulating the synthesis and breakdown of what?,pathway,lipids,enzyme,glycogen,,A
4442,What kind of muscle relationship generally produces back-and-forth movement of a body part?,synchronized muscles,complementary muscles,cooperative muscles,antagonistic muscles,,D
4443,Science is a process of knowing about the natural universe through what two actions?,guessing and observing,thinking and guessing,changes and experimentation,observation and experimentation,Science is a process of knowing about the natural universe through observation and experiment.,D
4458,The process by which leaves collect sunlight and make food is called this?,pollination,budding,glycolysis,photosynthesis,The primary function of leaves is to collect sunlight and make food by photosynthesis.,D
4463,Many adolescents experience frequent mood swings.  name one of the causes for this.,growing hormones,maturing nervous system,psychological changes,surging hormones,Adolescents may have mood swings because of surging hormones.,D
4470,What controls the movements of hands and arms?,voluntary nervous system,autonomic nervous system,functional nervous system,somatic nervous system,Scott Schram. The somatic nervous system controls the movements of hands and arms . CC BY 2.0.,D
4490,What kind of movement do planets in the solar system make around the sun?,spinning orbits,optical orbits,round orbits,elliptical orbits,Flickr:Image Editor. Planets in the solar system make elliptical orbits around the Sun . CC BY 2.0.,D
4498,Amines are bases; they react with acids to form what?,proteins,oils,ions,salts,Amines are bases; they react with acids to form salts.,D
4505,"Echinoderms are found in many different ocean environments, but most are found where?",in waterfalls,in tidepools,in beaches,in reefs,"Echinoderms are found in many different ocean environments, but most are found in reefs.",D
4506,A convergent plate boundary is created when two plates do what?,stay stationary,move away from each other,move perpendicular to each other,come toward each other,"When two plates come toward each other, they create a convergent plate boundary.",D
4509,What do cells do in order to replace damaged or worn out cells?,fold,replicate,die,divide,Cells also divide in order to replace damaged or worn-out cells.,D
4511,Chloroplasts are the little green particles in plants made up of what colorful pigment?,melanin,verdigris,carbonate,chlorophyll,,D
4514,What are boggy regions with thick layers of peat called?,meadows,wetlands,tropics,peatlands,,D
4518,Where is most digestion completed?,the esophagus,the cavity,the stomach,the duodenum,,B
4520,What gland secretes its products directly into the urethra through several small ducts,thyroid,pituitary,adrenal,prostate,,D
4525,Traditional classification of mammals are based on similarities in what two things?,Density and Structure,solution & function,density & function,structure & function,,D
4526,The rest of the energy stored in glucose is lost as what?,humidity,mass,volume,heat,,D
4536,What do we call the energy of motion?,binary energy,electromagnetic energy,harmonic energy,kinetic energy,The energy of motion is called kinetic energy.,D
4546,"Within each sporangium, hundreds of what kind of spores develop and are dispersed through the air?",infertile,diploid,polyploid,haploid,,D
4547,What delivers power to the chemical factory chloroplasts?,chlorophyll,oxygen,water,the sun,,D
4557,What is the part of the flower that produces pollen?,leaves,cones,stigma,stamen,stamens The part of the flower that produces pollen.,D
4558,What neutralizes the acidity of chyme and acts as a buffer?,the chloride,bile,the small intestine,the bicarbonate,,D
4559,What type of stress causes horizontal motions in strike-slip faults?,blunt,hot,cold,shear,,A
4567,What is the fruiting body that occurs after two hyphae mate and form a mycelium with sporangia?,fungus,yeast,mold,mushroom,,A
4569,Prokaryotes are successful because of the ________ of reproduction in favorable environments,volume,order,cycle,speed,,D
4592,What forms when a sperm fertilizes and egg?,proton,crystals,cytoplasm,zygote,,D
4604,Green plants known as producers provide basic food supply for what besides themselves?,water,minerals,air,animals,,D
4615,Where are some of the greatest concentrations of species found?,in mould colonies,at high altitudes,in the arctic,in the tropics,,D
4618,How many pairs of autosomes are there?,Seven,five,four,three,,B
4619,What are the only living organisms that can make their own food?,animals,bacteria,protozoa,plants,,D
4621,What are the highest clouds in the atmosphere?,silicic clouds,alto clouds,nebulous clouds,noctilucent clouds,Noctilucent clouds are the highest clouds in the atmosphere.,D
4627,Aging is associated with the death of what?,muscles,proteins,genes,cells,Aging is associated with the death of cells. Give two reasons why cells die.,D
4629,What are typically named for their major physical or climatic factors in addition to their predominant vegetation?,habitats,communities,aqueous biomes,terrestrial biomes,,D
4636,Crests and troughs are the high and low points of a what?,heat wave,darker wave,rupture wave,transverse wave,Crests and troughs are the high and low points of a transverse wave.,D
4638,A penguin must do what before molting?,mate,hibernate,use muscle mass,increase muscle mass,,A
4640,Why does water have a high surface tension?,oxygenation,high freezing point,helium bonding,hydrogen bonding,,D
4641,What are the two types of vascular tissues found in vascular plants?,ectoderm and phloem,xylem and chloroplasm,cytoplasm and chloroplasm,xylem and phloem,Xylem and phloem are the two types of vascular tissues in vascular plants.,D
4652,Tapeworms are what type of flatworms?,symbiotic,single-celled,endogenous,parasitic,Flatworms can be free-living or parasitic. Tapeworms are parasitic flatworms.,D
4654,"What class of animal, including hydras and jellies, is considered the simplest to contain a nervous system?",prokaryotes,fish,sponges,cnidarians,,D
